layer_id,type,input_shape,output_shape,output_elements,flops,reg_features
199,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
200,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
201,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
202,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
203,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
204,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
205,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
206,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
207,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
208,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
209,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
210,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
211,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
212,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
213,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
214,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
215,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
216,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
217,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
218,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
219,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
220,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
221,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
222,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
223,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
224,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
225,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
226,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
227,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
228,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
229,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
230,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
231,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
232,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
233,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
234,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
235,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
236,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
237,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
238,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
239,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
240,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
241,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
242,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
243,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
244,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
245,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
246,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
